"benchmark_log_id";"case_id";"event_index";"activity";"start_time";"end_time";"role";"resource";"text_content";"word_count";"template_id";"template_family";"slot_schema_json";"slot_values_json";"is_deviation";"deviation_type";"ground_truth_next_activity";"process_id";"regime"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"1";"Register request";"2026-01-05 10:38:00";"2026-01-05 11:11:00";"Administrative Officer";"João Ribeiro";"Request PROC.2026.00000175 was registered by Bruno Costa for project Student Portal, with an estimated amount of 6.784,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"47";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""6.784,75€"", ""PROCESS_ID"": ""PROC.2026.00000175"", ""PROJECT"": ""Student Portal"", ""REQUESTER"": ""Bruno Costa""}";"0";"none";"Validate request";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"2";"Validate request";"2026-01-05 12:17:00";"2026-01-05 12:25:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000175 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"Check budget";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"3";"Check budget";"2026-01-05 12:43:00";"2026-01-05 13:15:00";"Financial Officer";"Sofia Lopes";"Budget availability was confirmed for process PROC.2026.00000175, in the amount of 6.784,75€, under budget record BUD.2026.00000149. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"44";"BUD_T1";"BUD";"[""AMOUNT"", ""BUDGET_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.784,75€"", ""BUDGET_ID"": ""BUD.2026.00000149"", ""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"Authorize expense";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"4";"Authorize expense";"2026-01-05 14:08:00";"2026-01-05 14:23:00";"Director";"Rui Carvalho";"I authorize the expense for process PROC.2026.00000175, in the amount of 6.784,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"43";"AUT_T1";"AUT";"[""AMOUNT"", ""LEGAL_REF"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.784,75€"", ""LEGAL_REF"": ""Article 16"", ""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"Commit expense";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"5";"Commit expense";"2026-01-05 14:44:00";"2026-01-05 14:49:00";"Financial Officer";"Sofia Lopes";"Commitment COM.2026.00000198 was generated for process PROC.2026.00000175, in the amount of 6.784,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"46";"COM_T1";"COM";"[""AMOUNT"", ""COMMITMENT_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""6.784,75€"", ""COMMITMENT_ID"": ""COM.2026.00000198"", ""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"Issue order";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"6";"Issue order";"2026-01-05 15:59:00";"2026-01-05 16:30:00";"Procurement Officer";"Beatriz Correia";"Order ORD.2026.00000148 was issued for process PROC.2026.00000175. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"44";"ORD_T1";"ORD";"[""ORDER_ID"", ""PROCESS_ID""]";"{""ORDER_ID"": ""ORD.2026.00000148"", ""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"Notify requester";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"7";"Notify requester";"2026-01-05 17:13:00";"2026-01-05 17:38:00";"Administrative Officer";"Ana Silva";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00000175. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"41";"NOT_T1";"NOT";"[""PROCESS_ID"", ""REQUESTER""]";"{""PROCESS_ID"": ""PROC.2026.00000175"", ""REQUESTER"": ""Bruno Costa""}";"0";"none";"Close";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00001";"8";"Close";"2026-01-05 18:40:00";"2026-01-05 18:45:00";"Administrative Officer";"João Ribeiro";"Administrative closure was recorded for process PROC.2026.00000175. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"37";"CLO_T2";"CLO";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000175""}";"0";"none";"<END>";"PROC.2026.00000175";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"1";"Register request";"2026-01-05 09:20:00";"2026-01-05 09:35:00";"Administrative Officer";"Ana Silva";"Request PROC.2026.00000255 was registered by Alice Martins for project Digital Campus, with an estimated amount of 648,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"46";"REG_T1";"REG";"[""AMOUNT"", ""PROCESS_ID"", ""PROJECT"", ""REQUESTER""]";"{""AMOUNT"": ""648,00€"", ""PROCESS_ID"": ""PROC.2026.00000255"", ""PROJECT"": ""Digital Campus"", ""REQUESTER"": ""Alice Martins""}";"0";"none";"Validate request";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"2";"Validate request";"2026-01-05 10:23:00";"2026-01-05 10:37:00";"Case Manager";"Paulo Santos";"The request PROC.2026.00000255 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"45";"VAL_T1";"VAL";"[""PROCESS_ID""]";"{""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"Check budget";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"3";"Check budget";"2026-01-05 10:52:00";"2026-01-05 11:25:00";"Financial Officer";"Luís Ferreira";"Budget availability was confirmed for process PROC.2026.00000255, in the amount of 648,00€, under budget record BUD.2026.00000286. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"43";"BUD_T1";"BUD";"[""AMOUNT"", ""BUDGET_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""648,00€"", ""BUDGET_ID"": ""BUD.2026.00000286"", ""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"Authorize expense";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"4";"Authorize expense";"2026-01-05 12:19:00";"2026-01-05 12:32:00";"Director";"Rui Carvalho";"I authorize the expense for process PROC.2026.00000255, in the amount of 648,00€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"42";"AUT_T1";"AUT";"[""AMOUNT"", ""LEGAL_REF"", ""PROCESS_ID""]";"{""AMOUNT"": ""648,00€"", ""LEGAL_REF"": ""Article 16"", ""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"Commit expense";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"5";"Commit expense";"2026-01-05 12:59:00";"2026-01-05 13:29:00";"Financial Officer";"Sofia Lopes";"Commitment COM.2026.00000293 was generated for process PROC.2026.00000255, in the amount of 648,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"45";"COM_T1";"COM";"[""AMOUNT"", ""COMMITMENT_ID"", ""PROCESS_ID""]";"{""AMOUNT"": ""648,00€"", ""COMMITMENT_ID"": ""COM.2026.00000293"", ""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"Issue order";"PROC.2026.00000255";"controlled_reference_prescribed"
"CREF_PRESCRIBED_HIGH_LQ_40_50W";"CREF_CASE_00002";"6";"Issue order";"2026-01-05 14:20:00";"2026-01-05 14:31:00";"Procurement Officer";"Nuno Pinto";"Order ORD.2026.00000255 was issued for process PROC.2026.00000255. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"44";"ORD_T1";"ORD";"[""ORDER_ID"", ""PROCESS_ID""]";"{""ORDER_ID"": ""ORD.2026.00000255"", ""PROCESS_ID"": ""PROC.2026.00000255""}";"0";"none";"Notify requester";"PROC.2026.00000255";"controlled_reference_prescribed"
