"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Register request";"Request PROC.2026.00000175 was registered by Bruno Costa for project Student Portal, with an estimated amount of 6.784,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6784,75 €";"amount";"PROC.2026.00000175";"process_id";"Student Portal";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00000175 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000175";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000175, in the amount of 6.784,75€, under budget record BUD.2026.00000149. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6784,75 €";"amount";"BUD.2026.00000149";"budget_id";"PROC.2026.00000175";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000175, in the amount of 6.784,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6784,75 €";"amount";"Article 16";"legal_ref";"PROC.2026.00000175";"process_id";;
"Commit expense";"Commitment COM.2026.00000198 was generated for process PROC.2026.00000175, in the amount of 6.784,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6784,75 €";"amount";"COM.2026.00000198";"commitment_id";"PROC.2026.00000175";"process_id";;
"Issue order";"Order ORD.2026.00000148 was issued for process PROC.2026.00000175. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000148";"order_id";"PROC.2026.00000175";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00000175. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000175";"process_id";"Bruno Costa";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00000175. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00000175";"process_id";;;;;;
"Register request";"Request PROC.2026.00000255 was registered by Alice Martins for project Digital Campus, with an estimated amount of 648,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"648,00 €";"amount";"PROC.2026.00000255";"process_id";"Digital Campus";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00000255 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000255";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000255, in the amount of 648,00€, under budget record BUD.2026.00000286. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"648,00 €";"amount";"BUD.2026.00000286";"budget_id";"PROC.2026.00000255";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000255, in the amount of 648,00€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"648,00 €";"amount";"Article 16";"legal_ref";"PROC.2026.00000255";"process_id";;
"Commit expense";"Commitment COM.2026.00000293 was generated for process PROC.2026.00000255, in the amount of 648,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"648,00 €";"amount";"COM.2026.00000293";"commitment_id";"PROC.2026.00000255";"process_id";;
"Issue order";"Order ORD.2026.00000255 was issued for process PROC.2026.00000255. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000255";"order_id";"PROC.2026.00000255";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00000255. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000255";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00000255 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000255";"process_id";;;;;;
"Register request";"Request PROC.2026.00000316 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 5.296,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5296,25 €";"amount";"PROC.2026.00000316";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00000316 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00000316";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00000316, in the amount of 5.296,25€, under budget record BUD.2026.00000333. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5296,25 €";"amount";"BUD.2026.00000333";"budget_id";"PROC.2026.00000316";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00000316, in the amount of 5.296,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5296,25 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00000316";"process_id";;
"Commit expense";"Commitment COM.2026.00000384 was generated for process PROC.2026.00000316, in the amount of 5.296,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5296,25 €";"amount";"COM.2026.00000384";"commitment_id";"PROC.2026.00000316";"process_id";;
"Issue order";"Order ORD.2026.00000384 was issued for process PROC.2026.00000316. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00000384";"order_id";"PROC.2026.00000316";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00000316. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00000316";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00000316 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00000316";"process_id";;;;;;
